Run Name,Number of Parent Nodes,Average,Median,std,stderr
probe-output.03.12.2015,50,1125.1,754.5,776.925485,110.989355
probe-output.03.13.2015,25,596.76,451,295.588942,60.33684
probe-output.03.13.2015.2,24,420.875,420.5,22.387334,4.668082
probe-output.03.18.2015.3,27,1395.740741,401,2369.473806,464.692045
probe-output.03.18.2015.4,31,628.032258,411,511.108693,93.315253
probe-output.03.19.2015,29,418.655172,420,10.326651,1.951554
probe-output.03.19.2015.2,18,468.277778,470,10.235046,2.482363
probe-output.03.19.2015.3,18,460,461,14.240006,3.453709
probe-output.03.19.2015.4,22,427.727273,430,11.172945,2.438137
probe-output.03.19.2015.8,40,747.6,381,1274.86542,204.141846
probe-output.03.20.2015,51,394.431373,420,106.98621,15.130135
probe-output.03.20.2015.2,36,373.027778,381.5,59.888547,10.123012
probe-output.03.20.2015.3,54,600.203704,601,10.887267,1.495481
probe-output.03.20.2015.5,47,429.404255,411,88.569401,13.058846
probe-output.03.20.2015.6,51,679.588235,622,316.929891,44.820655
probe-output.03.21.2015,58,739.155172,741,9.871243,1.307478
probe-output.03.21.2015.2,40,417.25,400,96.177635,15.400747
probe-output.03.21.2015.3,40,548.15,443.5,327.456909,52.43507
probe-output.03.21.2015.4,49,702.816327,723,116.293379,16.785503
probe-output.03.23.2015.2,38,487.447368,420.5,292.946438,48.160098
probe-output.03.28.2015,44,893.568182,452,2008.16923,306.242936
probe-output.03.29.2015,52,808.576923,652,542.830415,76.011462
probe-output.03.30.2015,70,782.742857,793,217.9406,26.236965
