time,submitted,remote,running,completed
0.0,0,0,0,0
5.0229268074,92,0,0,0
10.079875946,204,0,0,0
15.1918969154,254,56,0,0
20.2870459557,318,99,0,0
25.3902878761,367,159,0,0
30.4788889885,375,259,0,0
35.5899958611,449,288,0,0
40.7024538517,507,339,0,0
45.812928915,515,439,0,0
50.9503059387,500,500,0,0
56.0980448723,500,500,0,0
61.2143859863,500,500,0,0
66.330947876,500,500,0,0
71.4494578838,500,500,0,0
76.5647878647,500,500,0,0
81.6819398403,500,500,0,0
86.8043589592,500,500,0,0
91.9205739498,500,500,0,0
97.0392858982,500,500,0,0
102.156633854,500,500,0,0
107.280632973,500,500,0,0
112.421424866,500,500,0,0
117.556433916,500,499,1,0
122.674706936,500,462,38,0
127.825894833,500,462,38,0
132.957762003,500,462,38,0
138.094144821,500,462,38,0
143.214845896,500,462,38,0
148.332971811,500,462,38,0
153.451684952,500,462,38,0
158.55712986,500,462,38,0
163.664075851,500,462,38,0
168.768918991,500,462,38,0
173.883900881,500,462,38,0
179.000146866,500,462,38,0
184.117301941,500,462,38,0
189.233523846,500,462,38,0
194.353107929,500,462,38,0
199.468680859,500,462,38,0
204.588804007,500,462,38,0
209.706846952,500,462,38,0
214.823285818,500,462,38,0
219.943398952,500,462,38,0
225.064889908,500,444,18,38
230.191422939,500,409,53,0
235.304741859,469,440,53,0
240.421362877,462,447,53,0
245.536159992,462,447,53,0
250.649863005,462,447,53,0
255.775732994,462,447,53,0
261.303628922,462,447,53,0
266.433007956,462,447,53,0
271.590636969,462,447,53,0
276.736624002,462,447,53,0
281.840626001,462,447,53,0
286.955001831,462,447,53,0
292.073876858,462,447,53,0
297.205878973,462,447,53,0
302.335624933,462,447,53,0
307.456625938,462,447,53,0
312.572628021,462,447,53,0
317.690876961,462,447,53,0
322.853624821,462,447,53,0
327.983930826,462,447,35,18
333.117605925,444,408,57,0
338.361393929,425,427,57,0
343.476711988,409,443,57,0
348.575706959,409,443,57,0
353.675625801,409,443,57,0
358.793624878,409,443,57,0
363.899626017,409,443,57,0
369.014878988,409,443,57,0
374.187502861,409,443,57,0
379.337169886,409,443,57,0
384.46032691,409,443,57,0
389.581627846,409,443,57,0
394.69787693,409,443,57,0
399.825627804,409,443,57,0
404.94387579,409,443,57,0
410.114570856,409,443,57,0
415.230871916,409,443,57,0
420.356601954,409,443,57,0
425.526882887,409,443,57,0
430.695628881,409,443,51,6
435.815629005,409,434,26,34
440.989475012,407,420,25,17
446.097430944,403,396,53,0
451.213876963,369,426,57,0
456.335100889,352,443,57,0
461.532872915,352,443,57,0
466.650876999,352,443,57,0
