time,submitted,remote,running,completed
0.0,0,0,0,0
5.02802801132,99,0,0,0
10.0838170052,222,0,0,0
15.1400299072,304,0,0,0
20.2138178349,426,0,0,0
25.319026947,543,0,0,0
30.4237718582,653,0,0,0
35.5100049973,771,0,0,0
40.659044981,886,0,0,0
45.7670040131,1000,0,0,0
50.8770010471,1000,0,0,0
56.0149738789,1000,0,0,0
61.1258978844,1000,0,0,0
66.2354688644,1000,0,0,0
71.3472008705,1000,0,0,0
76.4635179043,1000,0,0,0
81.5752038956,1000,0,0,0
86.6892058849,1000,0,0,0
91.8021788597,1000,0,0,0
96.9128599167,1000,0,0,0
102.02877593,1000,0,0,0
107.148636818,1000,0,0,0
112.258206844,981,0,19,0
117.370641947,981,0,19,0
122.487363815,981,0,19,0
127.639024973,981,0,19,0
132.768810034,981,0,19,0
137.878016949,981,0,19,0
142.990562916,981,0,19,0
148.103559017,981,0,19,0
153.215811968,981,0,19,0
158.327538013,981,0,19,0
163.439127922,981,0,19,0
168.55171895,981,0,19,0
173.664079905,981,0,19,0
179.113487005,981,0,19,0
184.235824823,981,0,19,0
189.348125935,981,0,19,0
194.458968878,962,0,38,0
199.584077835,962,0,38,0
204.691958904,962,0,38,0
209.801934958,962,0,38,0
214.916188002,962,0,38,0
220.039572954,962,0,38,0
225.194361925,962,0,38,0
230.31179285,962,0,38,0
235.499579906,961,0,39,0
240.598184824,961,0,39,0
245.711678982,961,0,39,0
250.824278831,961,0,39,0
255.933804035,961,0,39,0
261.047871828,961,0,39,0
266.158529043,961,0,39,0
271.289126873,961,0,39,0
276.401146889,961,0,39,0
281.528797865,961,0,39,0
286.659965038,961,0,39,0
291.773243904,961,0,39,0
296.882860899,942,0,58,0
301.995275021,942,0,58,0
307.110466957,942,0,58,0
312.222642899,942,0,58,0
317.336999893,942,0,58,0
322.456305981,942,0,58,0
327.565903902,942,0,58,0
332.678318977,942,0,58,0
337.787770987,942,0,58,0
342.918330908,942,0,58,0
348.028785944,942,0,58,0
353.144912004,942,0,58,0
358.258661985,942,0,58,0
363.370828867,942,0,58,0
368.486037016,942,0,58,0
373.607223034,942,0,58,0
378.717648029,923,0,77,0
383.831383944,923,0,77,0
388.94706893,923,0,77,0
394.060731888,923,0,77,0
399.174136877,923,0,77,0
404.307027817,922,0,78,0
409.421607018,922,0,78,0
414.566514969,922,0,78,0
419.680263042,922,0,78,0
424.792825937,922,0,78,0
429.90818882,922,0,78,0
435.035735846,922,0,78,0
440.139147997,922,0,78,0
445.253680944,922,0,78,0
450.357885838,922,0,78,0
455.46942997,922,0,78,0
460.582878828,922,0,78,0
465.69859004,922,0,78,0
470.825896025,922,0,78,0
475.941206932,922,0,78,0
481.053774834,904,0,96,0
486.210994959,903,0,97,0
491.320199966,903,0,97,0
496.432052851,903,0,97,0
501.585050821,902,0,98,0
506.748898029,902,0,98,0
511.881151915,902,0,98,0
517.01342082,902,0,98,0
522.131163836,902,0,98,0
527.259546995,902,0,98,0
532.376572847,902,0,98,0
537.495697975,902,0,98,0
542.626821995,902,0,98,0
547.739673853,902,0,98,0
552.859772921,902,0,98,0
557.972551823,902,0,98,0
563.084187031,902,0,98,0
568.212996006,902,0,98,0
573.341766834,902,0,98,0
578.452771902,902,0,98,0
583.567116022,902,0,98,0
588.679348946,902,0,98,0
593.786705971,902,0,98,0
598.900768042,902,0,98,0
604.028915882,902,0,98,0
609.137042046,902,0,98,0
614.250871897,902,0,98,0
619.360548973,902,0,98,0
624.485656023,883,0,117,0
629.602535009,883,0,117,0
634.709187984,883,0,117,0
639.822217941,883,0,117,0
644.95333004,883,0,117,0
650.062999964,883,0,117,0
655.178189993,883,0,117,0
660.295940876,883,0,117,0
665.405985832,883,0,117,0
670.516782999,883,0,117,0
675.65769887,883,0,117,0
680.778177977,883,0,117,0
685.904060841,883,0,117,0
691.862406969,883,0,117,0
696.970541,883,0,117,0
702.08237505,883,0,117,0
707.217126846,883,0,117,0
712.342198849,883,0,117,0
717.477661848,883,0,117,0
722.602821827,883,0,117,0
727.703389883,883,0,117,0
732.814493895,863,0,137,0
737.924860001,863,0,137,0
743.029094934,863,0,137,0
749.710314989,863,0,137,0
754.859853029,863,0,137,0
759.971295834,863,0,137,0
765.083219051,863,0,137,0
770.218444824,863,0,137,0
775.345460892,863,0,137,0
780.462487936,863,0,137,0
785.576880932,863,0,137,0
790.68087101,863,0,137,0
795.779928923,863,0,137,0
800.884222031,863,0,137,0
805.995483875,863,0,137,0
811.123317003,855,0,145,0
816.252065897,855,0,145,0
821.379602909,855,0,145,0
826.492120981,855,0,145,0
831.606346846,855,0,145,0
836.730774879,855,0,145,0
841.879835844,847,0,153,0
846.991670847,847,0,153,0
852.110257864,847,0,153,0
857.239476919,847,0,153,0
862.352387905,847,0,153,0
867.461987972,847,0,153,0
872.569768906,847,0,153,0
877.675191879,847,0,153,0
882.787478924,847,0,153,0
887.900063992,847,0,153,0
893.027357817,847,0,153,0
898.162242889,847,0,153,0
903.290971994,847,0,153,0
908.408638,847,0,153,0
913.521208048,847,0,153,0
918.632668972,847,0,153,0
923.744596958,843,0,157,0
928.858137846,843,0,157,0
933.964587927,843,0,157,0
939.084523916,843,0,157,0
944.202517033,835,0,165,0
949.329952002,835,0,165,0
954.437717915,835,0,165,0
959.580425978,835,0,165,0
964.713559866,835,0,165,0
969.828686953,835,0,165,0
974.940228939,835,0,165,0
980.048475027,835,0,165,0
985.159829855,835,0,165,0
990.272202969,835,0,165,0
995.397608042,835,0,165,0
1000.51370883,835,0,165,0
1005.62815905,835,0,165,0
1010.73870301,835,0,165,0
1015.85181999,835,0,165,0
1020.96480584,835,0,165,0
1026.10090399,835,0,165,0
1031.23391604,835,0,165,0
1036.34340286,835,0,165,0
1041.47783589,835,0,165,0
1046.61446595,835,0,165,0
1051.72096086,835,0,165,0
1056.84835386,835,0,165,0
1061.96013188,835,0,165,0
1067.06701589,835,0,165,0
1072.17960787,835,0,165,0
1077.32059789,835,0,165,0
1082.45313501,835,0,165,0
1087.58749795,835,0,165,0
1092.69243598,835,0,165,0
1097.80225992,835,0,165,0
1102.91350603,835,0,165,0
1108.02879286,835,0,165,0
1113.14838696,828,0,172,0
1118.25988698,828,0,172,0
1123.37989283,828,0,172,0
1128.49376702,828,0,172,0
1133.64709401,828,0,172,0
1138.77485895,828,0,172,0
1143.88922191,828,0,172,0
1149.00135589,828,0,172,0
1154.11784291,828,0,172,0
1159.24878597,823,0,177,0
1164.38152504,823,0,177,0
1169.49632502,823,0,177,0
1174.62863588,823,0,177,0
1179.73752093,823,0,177,0
1184.84931803,823,0,177,0
1189.96099496,823,0,177,0
1195.07478285,823,0,177,0
1200.19522882,823,0,177,0
1205.31844497,823,0,177,0
1210.43136883,823,0,177,0
1215.53649998,823,0,177,0
1220.65669584,823,0,177,0
1225.78498292,823,0,177,0
1230.90260601,823,0,177,0
1236.01659489,823,0,177,0
1241.12818789,823,0,177,0
1248.42947698,823,0,177,0
1253.53961802,823,0,177,0
1258.65429282,823,0,177,0
1263.77599382,823,0,177,0
